time,value
0,-0.31199523187214867
1,-0.2892854351775599
2,-0.5447761516042366
3,-0.7706803729486055
4,-1.0819998766619623
5,-1.2782120327323003
6,-1.4623204742486258
7,-1.804440665136221
8,-2.1102719749528602
9,-2.284649067027929
10,-2.4510747839388958
11,-2.500024126823361
12,-2.490922782114491
13,-2.3457995255589226
14,-2.126957991562406
15,-1.9109874981687478
16,-1.6602541199894756
17,-1.193127667559967
18,-0.8601108139355478
19,-0.3731178233478799
20,0.1047034392726818
21,0.5433587154339111
22,0.9551510328019035
23,1.3266115236003249
24,1.6311084250373078
25,1.916407356680364
26,2.045099883729802
27,2.0736069170888576
28,2.197794503360441
29,2.1778886859305713
30,1.9641223297415866
31,1.7579464681978392
32,1.4994476743589107
33,1.0817716980352194
34,0.6571449217701029
35,0.1394169070249144
36,-0.2385567014290982
37,-0.5968884157951254
38,-0.9786318141554626
39,-1.3558564378970648
40,-1.7001111708095282
41,-1.9459988050478514
42,-2.0424406398719674
43,-2.102273563330014
44,-2.043668631193997
45,-1.9510564178965293
46,-1.7762203691346847
47,-1.6379440242850078
48,-1.3848687762388845
49,-1.0663372196058927
50,-0.5304378173974387
51,-0.041933555513684086
52,0.361834707726785
53,0.741824566302126
54,0.982833362534665
55,1.3544223096163992
56,1.5251631993985215
57,1.713693565595977
58,1.86980199988281
59,1.9169457920911077
60,1.9120324330741643
61,1.9130772152506879
62,1.7374674054192
63,1.3649347266499228
64,0.9703135297892229
65,0.5045480901030143
66,0.11505130346604799
67,-0.3536406635266869
68,-0.6631253459943818
69,-0.8023953815366904
70,-1.256502801756171
71,-1.5456237908634192
72,-1.82983769132292
73,-2.0140208946080445
74,-2.093479908708868
75,-2.187454142707161
76,-2.141439998453852
77,-1.9493282357025112
78,-1.7003838647790246
79,-1.439316507831462
80,-1.1566767143027996
81,-0.5766866353633333
82,-0.10405116258595061
83,0.3752583920990307
84,0.7502221182622811
85,1.066004530828366
86,1.368155205797647
87,1.5570266092177467
88,1.9242221673069815
89,2.059698865864934
90,2.2307177987075777
91,2.165652361637884
92,2.0923878335050774
93,1.9166752443253787
94,1.5444890421761024
95,1.3757703386808744
96,0.9670923377779149
97,0.47193194996889887
98,0.11162649101461977
99,-0.31236410072873155
100,-0.694976147079321
101,-1.0713931913487713
102,-1.5745944308002722
103,-1.897817035112969
104,-2.1477942862389443
105,-2.1706807591826496
106,-2.1982087373506887
107,-2.1080538185109736
108,-2.0086848391107543
109,-1.759326216181546
110,-1.5033620834491042
111,-1.1920982659787973
112,-0.8003798158449628
113,-0.3871208333832065
114,0.2340925926491106
115,0.5538294377946237
116,0.82128461957574
117,1.2167981059869308
118,1.4755896791377163
119,1.5683673277598982
120,1.7009082566504603
121,2.0242832383472416
122,1.984946800530759
123,1.8005348043379257
124,1.8641119157018617
125,1.5629281571190978
126,1.5272902708277265
127,1.1366925529682885
128,0.879264184437798
129,0.4183348180367399
130,0.009086656048757025
131,-0.4409227194252854
132,-0.8709807582758148
133,-1.2190824403032612
134,-1.4961725449099403
135,-1.7375002811622235
136,-1.912259342007022
137,-2.06670325970716
138,-2.076669266332361
139,-1.8676734702565836
140,-1.784019920647612
141,-1.5326570379899964
142,-1.1447992329961714
143,-0.7746978948333177
144,-0.33340348157337857
145,-0.040410471984046265
146,0.3862592144918902
147,0.7562239415589157
148,1.1076850269221201
149,1.5587425331967293
150,1.799998944102876
151,2.0225244918125527
152,2.0035925983820464
153,2.205422109673671
154,2.2325725565413412
155,2.094799548055365
156,1.8609493922065323
157,1.636382334034618
158,1.3936000705573468
159,1.136724690242437
160,0.7567417002289909
161,0.2954693818732115
162,-0.08606405329407191
163,-0.4736414282468125
164,-0.8882723509934612
165,-1.1949179092995748
166,-1.4458895038096762
167,-1.6922671335154904
168,-1.8887725781406899
169,-1.8980145596501403
170,-1.958951108077863
171,-1.9374089382950046
172,-1.7002711373508592
173,-1.3752955316117994
174,-1.0245960645707182
175,-0.6237040973072194
176,-0.39561582024838327
177,0.08414739643480074
178,0.6214299151603393
179,1.0692355698962421
180,1.4698407563306606
181,1.7667107682188588
182,2.0049917243654485
183,2.1378427433298333
184,2.2392250977539625
185,2.140427513211095
186,2.1772027893363557
187,1.9321781703028054
188,1.759377088771355
189,1.551428824194357
190,1.2378758165617156
191,0.9983043018860155
192,0.36582850676535567
193,-0.11760106762514025
194,0.4506080838281949
195,0.7647827872675184
196,1.085313175429259
197,1.4602262191469617
198,1.6011773068769821
199,1.7967293195195029
200,1.9365273635685807
201,1.9559877570506152
202,1.8942148803445116
203,1.6729022231376902
204,1.458055606074522
205,1.1285366369830236
206,0.7621816332239315
207,0.9795105004773724
208,1.073071453978621
209,1.1348151073573873
210,1.4828083271898154
211,1.7650687605867017
212,2.1064902702095134
213,2.2201036027853336
214,2.3419806115335873
215,2.413941023792577
216,2.356753160754916
217,2.2071614631231573
218,2.1269004307492825
219,1.7879354128415708
220,1.4276506232300255
221,1.0950224645963915
222,0.8022019159547403
223,0.3495775954695095
224,-0.11999007468235051
225,-0.5425828730219696
226,-0.9013954304211438
227,-1.2877610400129418
228,-1.5086691360577524
229,-1.678037931538859
230,-1.8877174180487022
231,-1.8474548588926083
232,-1.8959381657412133
233,-1.775574236622014
234,-1.6417207268704923
235,-1.4321365222959261
236,-1.3064630753870778
237,-1.0635767180466444
238,-0.6983328100256658
239,-0.19222158427949254
240,0.2485556602203413
241,0.6285820863284134
242,1.0622751374974275
243,1.4858022977308198
244,1.7606688870624356
245,1.9912912597928283
246,2.137430474572484
247,2.1929773059794644
248,2.1103914757212423
249,1.9501367692790437
250,1.8378025535831566
251,1.681672965831709
252,1.3394660084496655
253,0.9496955158128009
254,0.40601573314845324
255,0.5209630014879527
256,0.9540837758328297
257,1.2065779947814552
258,1.2745368836891744
259,1.7766605506562456
260,1.9587094811940922
261,2.0073161199696306
262,2.136813195298657
263,1.518422019361808
264,1.0588909810874907
265,0.7739199915062938
266,0.47742084100693605
267,0.5091329357615523
268,0.6409338749623269
269,0.8526434604828766
270,1.024799771702069
271,1.198342617931152
272,1.4015197171727267
273,1.5307570630610845
274,1.750153067838447
275,1.795966869949952
276,1.8793697491454464
277,2.073387023356853
278,2.148428686527038
279,2.1827671296011393
280,2.1726755324763483
281,2.0484002565988098
282,1.8389140203894958
283,1.530454536166521
284,1.1162568699469235
285,0.6311782188228864
286,0.19227658313316542
287,-0.21829883040621467
288,-0.6155053098513203
289,-0.9258666785953767
290,-1.2961948654421
291,-1.5562707700564336
292,-1.9191339347739813
293,-1.1669273175953194
294,-0.5880829327659151
295,-0.0746066012804852
296,0.15181082604254373
297,0.07934632465054553
298,0.08901101752652604
299,0.07805135708114572
300,-0.18019083458647867
301,-0.37830131582017457
302,-0.7451641922911207
303,-0.8823575965591793
304,-1.2317084859462761
305,-1.6324966346061975
306,-1.9283375204100526
307,-2.1149355671538834
308,-2.228015674793002
309,-2.2209833027166597
310,-2.308355378281951
311,-2.1963884922261028
312,-2.2110552360421813
313,-2.07703229717715
314,-1.8953000502415738
315,-1.591855104898524
316,-1.1160276569580823
317,-0.7287061424455022
318,-0.3072505627269867
319,-0.6515682810255115
320,-0.9761551544980855
321,-1.3524313393591743
322,-1.732811767829096
323,-1.8343097889415456
324,-2.0526296041349865
325,-2.1829882213554654
326,-2.2200363075040577
327,-2.11193086949381
328,-2.0971066000943974
329,-1.7046145077474755
330,-1.462632767538851
331,-1.0817067161656246
332,-0.8142451320095881
333,-0.38577859342354887
334,0.18771497584600677
335,0.7207487278463285
336,1.1302829108632175
337,0.3964091247266276
338,-0.0652737011945938
339,-0.6745755723967266
340,-1.0945469244652644
341,-1.33318490208462
342,-1.5902830318772074
343,-1.6398421975973902
344,-1.4860048258242864
345,-1.3776064947651558
346,-1.0616711676827126
347,-0.5712519997869625
348,-0.2214607454243646
349,0.19342208058577715
350,0.6514921099620707
351,0.9610784427094854
352,1.3598941313090733
353,1.6173620035686043
354,1.8966289899230082
355,2.1638262603129355
356,2.208467687887536
357,2.0693891665832203
358,1.9909942620727787
359,2.0018458048956074
360,1.746015517920592
361,1.5963474636652315
362,1.2126101924637651
363,0.8446651226496721
364,0.45836228035907584
365,-0.03158428926169063
366,0.3610683981944522
367,0.6368475022736315
368,1.0003690246083985
369,1.3424313027420915
370,1.4511807099351477
371,1.6253696654846457
372,1.824426129947351
373,1.817608031946837
374,1.8623796886331867
375,1.820812658552054
376,1.6684063141104581
377,1.4812549145761018
378,1.2296818789788861
379,1.320896139184198
380,1.3241656951945917
381,1.4927598907405462
382,1.8338681705377362
383,1.9953912473792306
384,2.189873708670474
385,2.279947299201963
386,2.5674899327265166
387,2.562976803632089
388,2.6334252789304267
389,2.675460844920732
390,2.590332085080737
391,2.3957025549362503
392,2.1127174823732804
393,1.6633489157896009
394,1.423537188199346
395,1.0083673489641598
396,0.5514455351642373
397,0.0022698067801109334
398,-0.4294624169644698
399,-0.8452120693371815
400,-0.07768103864334547
401,0.43289055811434113
402,0.850703409154863
403,1.0778142368556396
404,1.242272168424084
405,1.4117730854615012
406,1.2885847650756812
407,1.0360984139344844
408,0.9220910487057429
409,0.7753303792479816
410,0.8432136059573555
411,1.0675465007871043
412,1.2259985974140701
413,1.4139438970497515
414,1.6354284904857657
415,1.8945272326605853
416,2.0594216669323777
417,2.2128981265715275
418,2.3728830431052446
419,2.4052888670771275
420,2.318124336033461
421,2.1131958309226904
422,2.0039395298356224
423,1.9110627542487257
424,1.6675778604204252
425,1.2391809101917306
426,0.8090067806458451
427,0.38879945004343214
428,0.12689929520632368
429,-0.15414160527376328
430,-0.45245430584864216
431,-0.8647414704972183
432,-0.9807123393215604
433,-1.379594442917384
434,-1.6609159356387289
435,-1.749999354816962
436,-1.8113355169969274
437,-1.7802451007174953
438,-1.8464508360174139
439,-1.7299708282335233
440,-1.457448952140359
441,-1.1776933450312161
442,-0.8975242148932093
443,-0.5129334721018752
444,-0.042899934937312076
445,0.45151237240600967
446,0.704570721963218
447,1.0933239107114907
448,1.4200084852370245
449,1.7076493676921798
450,1.8096119022652268
451,1.844283090911042
452,1.9917051029590636
453,1.7352362955852954
454,1.5590204814052417
455,1.3454900748896557
456,1.0718891071448475
457,0.7122223739411536
458,0.4067056437225372
459,0.05713846151720438
460,-0.35296074171173203
461,-0.793985197397727
462,-1.1738643093890953
463,-1.4907102216912809
464,-1.8234656466269015
465,-1.97964030317583
466,-2.036859988753912
467,-1.991333416358906
468,-1.8852677554483306
469,-1.844392674879045
470,-1.6808216974908239
471,-1.4658717854715393
472,-1.1837519903703349
473,-0.8522793699993392
474,-0.4616666911624071
475,0.0424387727237886
476,0.4681950949971827
477,0.7627310159423482
478,1.2116481372235606
479,1.5467434314086967
480,1.8457871261340701
481,2.056135529299882
482,2.1924231904764775
483,2.2491462215818987
484,2.0518168655987075
485,1.972050552254006
486,1.7133960139298112
487,1.4123504319883073
488,1.0958073756337638
489,0.8611937403398104
490,0.36513622483836333
491,-0.05484299603168582
492,-0.4906658859907488
493,-0.8110360930882062
494,-1.2056045441547696
495,-1.5065175181522377
496,-1.846205886161565
497,-1.9333123953442224
498,-2.1577611167089352
499,-2.1308215418740626
500,-2.046022593910744
501,-1.8716461525523707
502,-1.768536184987636
503,-1.4929752064324824
504,-1.0664837988194613
505,-0.5369487310393382
506,-0.15507046747253653
507,0.31138912167987387
